year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,3,19,1,40,47.22,122.3608,24.8760,2.48,3.01,15190140.P12
2012,3,19,6,8,52.18,121.4363,23.2988,25.74,3.89,15190608.P12
2012,3,20,20,33,0.79,121.8447,24.0932,19.33,3.03,15202032.P12
2012,3,20,23,58,24.71,121.5798,23.5028,39.01,3.01,15202358.P12
2012,3,21,10,7,21.32,121.8722,24.7048,66.39,3.24,15211006.P12
2012,3,21,15,3,28.00,122.7748,24.4165,81.53,3.99,15211503.P12
2012,3,21,23,17,43.25,121.7890,24.7142,78.49,3.97,15212317.P12
2012,3,21,23,44,38.28,121.5855,23.2512,42.50,5.03,15212344.P12
2012,3,22,6,36,49.84,121.4880,24.3600,6.10,3.16,15220636.P12
2012,3,23,16,4,41.78,120.5633,23.1413,12.97,3.52,15231604.P12
2012,3,23,21,22,48.41,122.5433,23.9900,30.41,4.01,15232121.P12
2012,3,24,15,3,0.99,121.4883,24.3662,5.79,4.21,15241502.P12
2012,3,24,15,3,59.57,121.4897,24.3672,5.40,3.38,15241502.112
2012,3,24,15,35,4.54,121.4835,24.3613,7.02,3.34,15241534.P12
2012,3,24,17,27,54.42,120.8425,22.7173,8.62,3.01,15241726.P12
2012,3,24,22,15,9.49,121.4858,24.3583,5.70,3.17,15242214.P12
2012,3,25,0,49,6.27,121.7498,24.2377,9.23,3.28,15250048.P12
2012,3,25,2,42,32.08,120.9243,23.7033,23.49,3.43,15250242.P12
2012,3,25,9,0,40.48,120.3940,22.0257,62.64,3.13,15250900.P12
2012,3,25,10,45,18.67,121.7287,24.5572,70.42,3.36,15251045.P12
2012,3,25,12,6,36.34,121.4868,24.3753,5.51,3.48,15251206.P12
2012,3,27,6,46,2.90,121.8092,24.2133,57.96,3.38,15270645.P12
2012,3,28,3,51,57.79,121.6658,23.5345,33.23,3.34,15280351.P12
